feature,model,out,mean_abs_impact,feat_shap_corr,feat_shap_spear,feat_shap_corr_org,rank
PC7,LR,IV_fm1_actrhythm,0.026144788730159498,-0.493125395892047,-0.6053836386722292,-0.493125395892047,28
PC11,LR,IV_fm1_actrhythm,0.02603713519876322,-0.8812308084314715,-0.8889461273353891,-0.8812308084314715,29
HFP_sp1_pt1_cardio,LR,IV_fm1_actrhythm,0.02401308915837519,0.43938603520929365,0.6672979252686301,0.43938603520929365,30
PC10,LR,IV_fm1_actrhythm,0.01926410972156103,,,0.06404711455839063,31
PC14,LR,IV_fm1_actrhythm,0.017814640839278233,,,-0.10100885688468747,32
PC5,LR,IV_fm1_actrhythm,0.016654776799096535,0.17103541248303572,-0.40830763649555596,0.17103541248303572,33
PC3,LR,IV_fm1_actrhythm,0.0158467253248962,0.8481469041612189,0.9083475421730456,0.8481469041612189,34
PC13,LR,IV_fm1_actrhythm,0.014340279780709422,0.5096090376848731,0.45993107201160893,0.5096090376848731,35
PC8,LR,IV_fm1_actrhythm,0.013787075790482899,0.47173525253034515,0.777486647457827,0.47173525253034515,36
PC9,LR,IV_fm1_actrhythm,0.009688941658260584,0.6997023385025947,0.7539415925993107,0.6997023385025947,37
coag_p_fm1_co,LR,IV_fm1_actrhythm,0.00926992487748969,0.6060133049012633,0.69739707206841,0.6060133049012633,38
PC18,LR,IV_fm1_actrhythm,0.00517710133909829,0.3761322047670922,0.5501723199709778,0.3761322047670922,39
PC21,RIDGE,se36_mean_pt1_sleep,0.552881671826366,0.38351763444829345,,0.38351763444829345,1
HFP_r_pt1_mean_cardio,RIDGE,se36_mean_pt1_sleep,0.4643190841561782,0.995669083967014,0.9953983793065783,0.995669083967014,2
HFP_s_fm1_cardio,RIDGE,se36_mean_pt1_sleep,0.32859769561611496,0.9924075843388551,0.9942339813229452,0.9924075843388551,3
HFP_p_pt1_cardio,RIDGE,se36_mean_pt1_sleep,0.3266907358278285,-0.9909646800837301,-0.9905938714578316,-0.9909646800837301,4
coag_p_fm1_co,RIDGE,se36_mean_pt1_sleep,0.2695769651956867,0.9952441426443901,0.9927307323359721,0.9952441426443901,5
HFP_s_pt1_cardio,RIDGE,se36_mean_pt1_sleep,0.24770816869361717,-0.9837565580198003,-0.9873202352052461,-0.9837565580198003,6
HFP_sp2_fm1_cardio,RIDGE,se36_mean_pt1_sleep,0.2456797795524665,-0.9827874731985344,-0.988034080735817,-0.9827874731985344,7
coag_sp2_fm1_co,RIDGE,se36_mean_pt1_sleep,0.23901985377071908,-0.9960994600490956,-0.9939003345586876,-0.9960994600490956,8
HFP_sp1_pt1_cardio,RIDGE,se36_mean_pt1_sleep,0.23687452462261682,-0.9658914723932553,-0.9838521266088626,-0.9658914723932553,9
HFP_sp2_pt1_cardio,RIDGE,se36_mean_pt1_sleep,0.21161023439239413,0.9864734581860781,0.9909493607170419,0.9864734581860781,10
HFP_p_fm1_cardio,RIDGE,se36_mean_pt1_sleep,0.21050487354680858,0.9837378173209478,0.9859812773858878,0.9837378173209478,11
PC4,RIDGE,se36_mean_pt1_sleep,0.175066768031261,-0.385910736118933,-0.3229856702339924,-0.385910736118933,12
PC3,RIDGE,se36_mean_pt1_sleep,0.14287054782183964,0.986096692120711,0.9913586069290767,0.986096692120711,13
HFP_b_fm1_cardio,RIDGE,se36_mean_pt1_sleep,0.14219206825330255,-0.9331267711735408,-0.9478080067617093,-0.9331267711735408,14
PC6,RIDGE,se36_mean_pt1_sleep,0.1161027491309613,0.9592550846810441,0.9642082350807184,0.9592550846810441,15
gamma_sp1_pt1_clo,RIDGE,se36_mean_pt1_sleep,0.11442473653379699,0.9806406125035504,0.9752679294023915,0.9806406125035504,16
gamma_sp1_fm1_clo,RIDGE,se36_mean_pt1_sleep,0.11082727882220304,-0.9876332420127036,-0.9889696750682224,-0.9876332420127036,17
PC7,RIDGE,se36_mean_pt1_sleep,0.09389586153066823,0.6294149338040476,0.6698567023399238,0.6294149338040476,18
PC19,RIDGE,se36_mean_pt1_sleep,0.09288543719344117,-0.5667760762984879,-0.5287103210593144,-0.5667760762984879,19
PC1,RIDGE,se36_mean_pt1_sleep,0.08622685362984665,-0.944379972364374,-0.9097613910409972,-0.944379972364374,20
HFP_sp1_fm1_cardio,RIDGE,se36_mean_pt1_sleep,0.08411477513987255,-0.9284514760739186,-0.9466091253278601,-0.9284514760739186,21
PC9,RIDGE,se36_mean_pt1_sleep,0.079516524502824,0.8680118792477758,0.8737202974786868,0.8680118792477758,22
PC14,RIDGE,se36_mean_pt1_sleep,0.07297951519196057,-0.8963273063595065,-0.9029493923453656,-0.8963273063595065,23
HFP_r_fm1_mean_cardio,RIDGE,se36_mean_pt1_sleep,0.07266569599750601,-0.8525916343095773,-0.9110160517048544,-0.8525916343095773,24
HFP_b_pt1_cardio,RIDGE,se36_mean_pt1_sleep,0.06752713242158805,0.8559701457303807,0.874982087609263,0.8559701457303807,25
